id,50000_units,5000_units,500_units,50_units,5_units
1,10000,2500,100,15,3
2,600,400,100,30,20
3,900,400,60,20,10
5,1000,125,50,20,5
4,800,300,150,100,50
6,8200,835,100,60,30
7,8000,2500,1200,500,350
8,3000,800,400,100,30
9,439.26,175.7,76.87,10.98,5.49
10,1000,500,200,100,20
11,150,75,50,25,5
12,8000,900,100,90,80
13,2500,750,250,150,125
14,2500,250,42,10,2
15,1149.22,405.61,236.6,60.84,27.04
16,369.95,184.98,92.49,49.33,43.16
17,2500,400,50,20,7
18,1500,300,50,20,10
19,200,150,120,60,20
20,975,235,45,27,9
21,6800,1000,225,80,35
22,850,174,17,2,1
23,600,190,75,50,10
24,1000,500,200,100,50
25,5000,650,150,50,25
26,878.81,608.41,338.01,101.4,81.12
27,200,100,50,30,10
28,300,200,100,30,15
29,4316.11,924.88,246.63,73.99,30.83
30,1500,400,200,100,50
31,380,75,70,50,20
32,200,100,50,25,10
33,950,300,100,40,15
34,3800,450,180,20,6
35,1800,400,100,50,20
36,450,200,100,49,25
37,2028.03,676.01,236.6,30.42,16.9
38,1109.86,739.9,246.63,215.81,123.32
39,1098.15,549.08,274.54,164.72,65.89
40,300,75,35,15,5
41,1500,400,200,125,100
42,6165.87,616.59,61.66,12.33,1.23
43,200,180,150,100,50
44,3000,600,165,39,15
45,900,300,70,10,1
46,3576.21,1183.85,215.81,55.49,24.66
47,1800,500,100,25,10
48,700,200,100,60,40
49,1195,450,100,15,3
50,3000,400,100,50,20
51,8000,1800,300,100,50
52,1000,100,5,2,1
53,1563,667,50,13,3
54,4932.7,1479.81,493.27,246.63,37
55,6000,850,180,80,30
56,616.59,123.32,61.66,37,12.33
57,5000,2500,250,25,10
58,616.59,369.95,73.99,37,18.5
59,1279.23,255.85,153.51,127.92,15.35
60,1250,995,275,125,75
61,2000,525,175,50,5
62,1647.23,439.26,98.83,32.94,16.47
63,200,100,50,35,25
64,1100,150,15,5,2
65,2000,300,150,30,10
66,3000,800,500,100,50
67,2000,900,340,90,35
68,1603.13,493.27,73.99,24.66,8.63
69,541.28,231.98,23.2,7.73,3.87
70,2500,500,150,65,20
71,5000,1500,550,200,100
72,10000,900,90,10,5
73,3000,400,50,10,5
74,3294.45,603.98,219.63,109.82,87.85
75,1647.23,329.45,65.89,43.93,21.96
76,2745.38,439.26,153.74,21.96,10.98
77,5000,1400,175,50,20
78,616.59,110.99,37,6.17,3.7
79,3000,1000,500,300,200
80,1000,800,450,250,100
81,7500,1000,100,10,1
82,1000,300,25,10,5
83,600,200,100,60,15
84,265,45,13,4,2
85,500,75,55,35,25
86,616.59,221.97,123.32,61.66,37
87,450,100,20,5,2
88,1126.84,375.61,75.12,37.56,7.51
89,450,175,35,15,5
90,678.25,184.98,92.49,37,6.17
91,1200,400,200,120,30
92,1000,100,10,5,1
93,100,50,15,5,1
